f_menu,f_name,f_topic,f_ctype,f_buyers,anchor_n2,rank,rec_menu,rec_name,rec_topic,rec_ctype,rec_price,conf_pct,lift,pair_n,same_menu
55723,2026년 솔로 탈출 시기,연애,사주,762,497,2,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,5.0,2.34,25,0
55723,2026년 솔로 탈출 시기,연애,사주,762,497,3,59089,내 운명 지도: 전국편,연애,?,19500.0,4.4,15.49,22,0
55723,2026년 솔로 탈출 시기,연애,사주,762,497,4,44274,🔋질문권 충전 (5개),기타,?,4500.0,4.2,38.0,21,0
55723,2026년 솔로 탈출 시기,연애,사주,762,497,5,57670,2026 병오년 운세: 사랑과 인연,연애,사주,19500.0,3.6,7.68,18,0
33556,(미상:33556),총운,사주,752,502,1,36509,(미상:36509),연애,사주,,6.2,10.73,31,0
33556,(미상:33556),총운,사주,752,502,2,2202,사주로 보는 직업운,학업직업,사주,1500.0,3.8,3.0,19,0
33556,(미상:33556),총운,사주,752,502,3,33646,(미상:33646),연애,사주,,3.0,4.44,15,0
33556,(미상:33556),총운,사주,752,502,4,43216,2025년 신년운세 보고서,총운,사주,37500.0,2.6,3.18,13,0
33556,(미상:33556),총운,사주,752,502,5,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,2.6,1.49,13,0
42392,2025년 솔로 탈출 시기,연애,사주,721,601,1,44273,🔋질문권 충전 (3개),기타,?,3000.0,10.5,37.62,63,0
42392,2025년 솔로 탈출 시기,연애,사주,721,601,2,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,6.8,3.17,41,0
